index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
0,2,20,90,-2.0,0.1,5,0.8239397755263245
1,2,20,90,-2.0,0.5,5,0.8533782421771576
2,2,20,90,-2.0,1.0,2,0.9545110881110932
3,2,20,90,-3.0,0.1,5,0.8067381071251207
4,2,20,90,-3.0,0.5,5,0.8975042174403072
5,2,20,90,-3.0,1.0,5,0.8254245521992507
6,2,30,90,-2.0,0.1,2,0.9407997573078051
7,2,30,90,-2.0,0.5,3,0.8059661165339838
8,2,30,90,-2.0,1.0,5,0.8205277767170012
9,2,30,90,-3.0,0.1,4,0.864057107564144
10,2,30,90,-3.0,0.5,4,0.8917921840556892
11,2,30,90,-3.0,1.0,4,0.8587387833437691
12,2,40,90,-2.0,0.1,5,0.8123754554873865
13,2,40,90,-2.0,0.5,5,0.8515893157748341
14,2,40,90,-2.0,1.0,5,0.839793057886675
15,2,40,90,-3.0,0.1,5,0.8336748835875357
16,2,40,90,-3.0,0.5,5,0.7589555531748194
17,2,40,90,-3.0,1.0,5,0.8523368865376884
18,2,50,90,-2.0,0.1,5,0.8386982568378721
19,2,50,90,-2.0,0.5,3,0.8717867589880913
20,2,50,90,-2.0,1.0,5,0.8358412438761512
21,2,50,90,-3.0,0.1,5,0.8089942970541203
22,2,50,90,-3.0,0.5,5,0.8314482680377984
23,2,50,90,-3.0,1.0,5,0.7671558181979529
24,2,60,90,-2.0,0.1,5,0.745150877622421
25,2,60,90,-2.0,0.5,5,0.8294899903028048
26,2,60,90,-2.0,1.0,5,0.8759507151260448
27,2,60,90,-3.0,0.1,5,0.8338873773587223
28,2,60,90,-3.0,0.5,5,0.8006106125396257
29,2,60,90,-3.0,1.0,5,0.7894941561750819
30,3,20,90,-2.0,0.1,3,0.8787873121170253
31,3,20,90,-2.0,0.5,4,0.8634779444912202
32,3,20,90,-2.0,1.0,5,0.8026857096018367
33,3,20,90,-3.0,0.1,5,0.8884251713942659
34,3,20,90,-3.0,0.5,5,0.8924830779359494
35,3,20,90,-3.0,1.0,5,0.9190119880780874
36,3,30,90,-2.0,0.1,5,0.8259196035149156
37,3,30,90,-2.0,0.5,2,0.9486375578908395
38,3,30,90,-2.0,1.0,2,0.940478683906522
39,3,30,90,-3.0,0.1,5,0.8901860385055149
40,3,30,90,-3.0,0.5,5,0.8800888928425035
41,3,30,90,-3.0,1.0,5,0.833515629371675
42,3,40,90,-2.0,0.1,5,0.8671219116222276
43,3,40,90,-2.0,0.5,2,0.872544204352812
44,3,40,90,-2.0,1.0,4,0.8776642328974458
45,3,40,90,-3.0,0.1,5,0.8210389990184259
46,3,40,90,-3.0,0.5,5,0.8798684367203422
47,3,40,90,-3.0,1.0,5,0.8742482388167363
48,3,50,90,-2.0,0.1,5,0.8759417973523907
49,3,50,90,-2.0,0.5,4,0.8491285154030408
50,3,50,90,-2.0,1.0,5,0.8144746343612117
51,3,50,90,-3.0,0.1,5,0.7766082453620144
52,3,50,90,-3.0,0.5,3,0.798199397068158
53,3,50,90,-3.0,1.0,3,0.8337420761300597
54,3,60,90,-2.0,0.1,3,0.9053415732664032
55,3,60,90,-2.0,0.5,3,0.8533490960592898
56,3,60,90,-2.0,1.0,4,0.8512963146799608
57,3,60,90,-3.0,0.1,5,0.9076793331887976
58,3,60,90,-3.0,0.5,5,0.9081489271079461
59,3,60,90,-3.0,1.0,3,0.8722517761895956
60,4,20,90,-2.0,0.1,5,0.8166310627006306
61,4,20,90,-2.0,0.5,5,0.8336985583625847
62,4,20,90,-2.0,1.0,5,0.6472353679596372
63,4,20,90,-3.0,0.1,5,0.8937270791584151
64,4,20,90,-3.0,0.5,3,0.9152323497866466
65,4,20,90,-3.0,1.0,5,0.88754827631295
66,4,30,90,-2.0,0.1,4,0.8517772965106393
67,4,30,90,-2.0,0.5,5,0.8185404358949647
68,4,30,90,-2.0,1.0,5,0.7684581799218582
69,4,30,90,-3.0,0.1,4,0.8661988017858784
70,4,30,90,-3.0,0.5,2,0.8556081759584632
71,4,30,90,-3.0,1.0,5,0.9305106878767592
72,4,40,90,-2.0,0.1,5,0.8489481022787562
73,4,40,90,-2.0,0.5,5,0.8652587806531649
74,4,40,90,-2.0,1.0,5,0.875819665318205
75,4,40,90,-3.0,0.1,3,0.8835946177815457
76,4,40,90,-3.0,0.5,3,0.8895957390677115
77,4,40,90,-3.0,1.0,4,0.8390063007143371
78,4,50,90,-2.0,0.1,4,0.8516194400339434
79,4,50,90,-2.0,0.5,3,0.8577304350085921
80,4,50,90,-2.0,1.0,4,0.8267841386968103
81,4,50,90,-3.0,0.1,4,0.898112360126056
82,4,50,90,-3.0,0.5,4,0.9057946896293888
83,4,50,90,-3.0,1.0,4,0.8903773616527418
84,4,60,90,-2.0,0.1,4,0.8504779859352164
85,4,60,90,-2.0,0.5,3,0.7949938716041425
86,4,60,90,-2.0,1.0,5,0.8745125620008278
87,4,60,90,-3.0,0.1,4,0.8933683898667459
88,4,60,90,-3.0,0.5,4,0.8805348981149109
89,4,60,90,-3.0,1.0,4,0.8688213604667541
90,5,20,90,-2.0,0.1,4,0.7361940454483815
91,5,20,90,-2.0,0.5,5,0.8385827016589598
92,5,20,90,-2.0,1.0,4,0.8105441806789098
93,5,20,90,-3.0,0.1,2,0.9076185407414977
94,5,20,90,-3.0,0.5,3,0.9030742931018805
95,5,20,90,-3.0,1.0,3,0.9305103589254644
96,5,30,90,-2.0,0.1,2,0.7918032322084994
97,5,30,90,-2.0,0.5,5,0.7887688857772505
98,5,30,90,-2.0,1.0,5,0.6295611049239553
99,5,30,90,-3.0,0.1,3,0.8409994266976799
100,5,30,90,-3.0,0.5,4,0.8473631828862267
101,5,30,90,-3.0,1.0,3,0.7173956861867193
102,5,40,90,-2.0,0.1,3,0.8619669581343895
103,5,40,90,-2.0,0.5,4,0.8103812377952258
104,5,40,90,-2.0,1.0,5,0.6881719028376637
105,5,40,90,-3.0,0.1,3,0.8571688742684547
106,5,40,90,-3.0,0.5,4,0.8182463476472912
107,5,40,90,-3.0,1.0,5,0.7893983270536102
108,5,50,90,-2.0,0.1,4,0.8797909290898374
109,5,50,90,-2.0,0.5,3,0.7271901943235539
110,5,50,90,-2.0,1.0,3,0.899619280108508
111,5,50,90,-3.0,0.1,2,0.8985548714362603
112,5,50,90,-3.0,0.5,3,0.8568508893519071
113,5,50,90,-3.0,1.0,5,0.8318665512298009
114,5,60,90,-2.0,0.1,4,0.8616013341115292
115,5,60,90,-2.0,0.5,5,0.8344528514170889
116,5,60,90,-2.0,1.0,4,0.8779394700799842
117,5,60,90,-3.0,0.1,3,0.8506097875791495
118,5,60,90,-3.0,0.5,3,0.8436147527650294
119,5,60,90,-3.0,1.0,5,0.8688663677665829
120,6,20,90,-2.0,0.1,5,0.8228654474444651
121,6,20,90,-2.0,0.5,5,0.6391706116250275
122,6,20,90,-2.0,1.0,2,0.961689790522357
123,6,20,90,-3.0,0.1,2,0.8074485875374695
124,6,20,90,-3.0,0.5,5,0.7519412375018126
126,6,30,90,-2.0,0.1,4,0.8647373019323576
127,6,30,90,-2.0,0.5,5,0.8311712900482422
128,6,30,90,-2.0,1.0,4,0.7888130363982346
129,6,30,90,-3.0,0.1,5,0.8596955869307334
130,6,30,90,-3.0,0.5,3,0.7474423701458326
131,6,30,90,-3.0,1.0,2,0.9486339731940794
132,6,40,90,-2.0,0.1,3,0.8593649928638043
133,6,40,90,-2.0,0.5,4,0.9090606334909321
134,6,40,90,-2.0,1.0,2,0.9290405284465905
135,6,40,90,-3.0,0.1,3,0.7719128656746008
136,6,40,90,-3.0,0.5,3,0.841151190914643
137,6,40,90,-3.0,1.0,3,0.8486842820293172
138,6,50,90,-2.0,0.1,3,0.8681496249145275
139,6,50,90,-2.0,0.5,2,0.913987651151397
140,6,50,90,-2.0,1.0,2,0.9351314444186212
141,6,50,90,-3.0,0.1,3,0.8692052659059237
142,6,50,90,-3.0,0.5,3,0.7782562253262393
143,6,50,90,-3.0,1.0,5,0.8448538071050098
144,6,60,90,-2.0,0.1,3,0.7728483036264424
145,6,60,90,-2.0,0.5,2,0.7123573858649278
146,6,60,90,-2.0,1.0,3,0.7701622671775371
147,6,60,90,-3.0,0.1,4,0.881027582908966
148,6,60,90,-3.0,0.5,3,0.838434536061583
149,6,60,90,-3.0,1.0,4,0.8684427052039667
151,7,20,90,-2.0,0.5,2,0.95290821841964
152,7,20,90,-2.0,1.0,5,0.7889893747801413
156,7,30,90,-2.0,0.1,3,0.8947724982692237
157,7,30,90,-2.0,0.5,3,0.8461819890696162
159,7,30,90,-3.0,0.1,3,0.8616900747352993
160,7,30,90,-3.0,0.5,2,0.9571773975028501
161,7,30,90,-3.0,1.0,5,0.6929728242245321
162,7,40,90,-2.0,0.1,2,0.8815330420989453
163,7,40,90,-2.0,0.5,4,0.8498238605725155
164,7,40,90,-2.0,1.0,2,0.852795864708817
165,7,40,90,-3.0,0.1,5,0.8423943164143568
166,7,40,90,-3.0,0.5,4,0.877340357558799
167,7,40,90,-3.0,1.0,4,0.8983066240047557
168,7,50,90,-2.0,0.1,3,0.8383997835367076
169,7,50,90,-2.0,0.5,3,0.8533519496409402
170,7,50,90,-2.0,1.0,5,0.8760667331713718
171,7,50,90,-3.0,0.1,5,0.8676218999486114
172,7,50,90,-3.0,0.5,3,0.8838072497215907
173,7,50,90,-3.0,1.0,5,0.8185971608571038
174,7,60,90,-2.0,0.1,2,0.8351363683747055
175,7,60,90,-2.0,0.5,3,0.8291984008861246
176,7,60,90,-2.0,1.0,4,0.8052335081169024
177,7,60,90,-3.0,0.1,3,0.8583073149231737
178,7,60,90,-3.0,0.5,5,0.8639158596130962
179,7,60,90,-3.0,1.0,5,0.8662425758574261
183,8,20,90,-3.0,0.1,5,0.8103158005567974
186,8,30,90,-2.0,0.1,3,0.8309598993614722
187,8,30,90,-2.0,0.5,4,0.8579808001113607
188,8,30,90,-2.0,1.0,2,0.9384922877744
189,8,30,90,-3.0,0.1,4,0.8345879880715221
190,8,30,90,-3.0,0.5,3,0.8740508508625515
191,8,30,90,-3.0,1.0,2,0.9617006786958844
192,8,40,90,-2.0,0.1,4,0.7892251650762321
193,8,40,90,-2.0,0.5,3,0.7772273475105602
194,8,40,90,-2.0,1.0,5,0.766147421713187
195,8,40,90,-3.0,0.1,4,0.8406189914186099
196,8,40,90,-3.0,0.5,5,0.8812587174473598
197,8,40,90,-3.0,1.0,4,0.8541838258050448
198,8,50,90,-2.0,0.1,2,0.8300641723711868
199,8,50,90,-2.0,0.5,2,0.8512106549871327
200,8,50,90,-2.0,1.0,5,0.7996585779573067
201,8,50,90,-3.0,0.1,5,0.7529605141236061
202,8,50,90,-3.0,0.5,2,0.8493907043380922
203,8,50,90,-3.0,1.0,4,0.8615192104968259
204,8,60,90,-2.0,0.1,2,0.8715224556962684
205,8,60,90,-2.0,0.5,2,0.9218325434987831
206,8,60,90,-2.0,1.0,2,0.7805325965525973
207,8,60,90,-3.0,0.1,3,0.89991365354526
208,8,60,90,-3.0,0.5,3,0.8431045336671334
209,8,60,90,-3.0,1.0,4,0.8439141916555165
210,9,20,90,-2.0,0.1,5,0.901218950332568
211,9,20,90,-2.0,0.5,2,0.948628189098206
212,9,20,90,-2.0,1.0,2,0.9486357077883177
213,9,20,90,-3.0,0.1,3,0.880351279808735
214,9,20,90,-3.0,0.5,2,0.948832549881444
215,9,20,90,-3.0,1.0,2,0.9326451415983926
216,9,30,90,-2.0,0.1,3,0.8085698222824653
217,9,30,90,-2.0,0.5,3,0.8653338070151368
218,9,30,90,-2.0,1.0,5,0.8571375769026854
219,9,30,90,-3.0,0.1,4,0.8986763657844972
220,9,30,90,-3.0,0.5,4,0.8592577226511076
221,9,30,90,-3.0,1.0,4,0.8951079864850655
222,9,40,90,-2.0,0.1,2,0.860646409584936
223,9,40,90,-2.0,0.5,5,0.9133419534043716
224,9,40,90,-2.0,1.0,2,0.9404736189957723
225,9,40,90,-3.0,0.1,4,0.8958958343971588
226,9,40,90,-3.0,0.5,5,0.8711945547990877
227,9,40,90,-3.0,1.0,4,0.8387210695250575
228,9,50,90,-2.0,0.1,3,0.9110996835169766
229,9,50,90,-2.0,0.5,4,0.9157328876146007
230,9,50,90,-2.0,1.0,4,0.9317078116001049
231,9,50,90,-3.0,0.1,5,0.8658568219690841
232,9,50,90,-3.0,0.5,5,0.8714920086302971
233,9,50,90,-3.0,1.0,5,0.8421860431263015
234,9,60,90,-2.0,0.1,2,0.8352260920285693
235,9,60,90,-2.0,0.5,3,0.47206623278156745
236,9,60,90,-2.0,1.0,2,0.8901123423240334
237,9,60,90,-3.0,0.1,5,0.8430685891651044
238,9,60,90,-3.0,0.5,4,0.7460126196178343
239,9,60,90,-3.0,1.0,4,0.8419226760133252
240,10,20,90,-2.0,0.1,5,0.8653447763177113
